timestamp,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged,copilot_nondraft,codex_nondraft,cursor_nondraft,devin_nondraft,codegen_nondraft
2025‑06‑02 09:01:10,11311,3569,77456,64517,0,0,27313,16690,0,0,4188,74611,0,24525,0
2025‑06‑02 12:01:04,11358,3592,77960,64949,0,0,27345,16719,0,0,4219,75083,0,24538,0
2025‑06‑02 15:01:02,11424,3641,78311,65225,0,0,27361,16728,0,0,4256,75594,0,24562,0
2025‑06‑02 18:01:01,11507,3716,78795,65647,0,0,27386,16746,0,0,4317,76060,0,24583,0
2025‑06‑02 21:00:59,11572,3757,79303,66160,0,0,27401,16761,0,0,4363,76533,0,24597,0
2025‑06‑03 00:01:57,11625,3794,79759,66568,0,0,27428,16774,0,0,4394,76992,0,24618,0
2025‑06‑03 03:21:22,11654,3831,80034,66795,0,0,27281,16612,0,0,4433,77420,0,24655,0
2025‑06‑03 06:01:08,11701,3863,80347,67053,0,0,27299,16624,0,0,4463,77733,0,24670,0
2025‑06‑03 09:01:16,11703,3891,80843,67495,0,0,27326,16638,0,0,4483,78100,0,24693,0
2025‑06‑03 12:01:12,11790,3944,81145,67753,0,0,27351,16652,0,0,4548,78432,0,24717,0
2025‑06‑03 15:01:12,11836,3970,81669,68203,0,0,27390,16691,0,0,4578,78933,0,24741,0
2025‑06‑03 18:01:08,11945,4015,82303,68785,0,0,27413,16704,0,0,4639,79499,0,24765,0
2025‑06‑03 21:01:09,12007,4056,85988,71508,0,0,27436,16718,0,0,4685,82838,0,24786,0
2025‑06‑04 00:02:07,12058,4088,89563,74245,0,0,27457,16735,0,0,4711,86163,0,24807,0
2025‑06‑04 03:21:45,12116,4122,93329,77062,0,0,27414,16685,0,0,4744,89767,0,24849,0
2025‑06‑04 06:01:08,12135,4141,95829,79045,0,0,27425,16696,0,0,4769,91856,0,24862,0
2025‑06‑04 09:01:04,12180,4178,99685,81911,0,0,27452,16715,0,0,4816,95431,0,24888,0
2025‑06‑04 12:01:14,12226,4205,103723,84974,0,0,27466,16726,0,0,4851,99367,0,24901,0
2025‑06‑04 15:11:29,12310,4251,108709,88950,0,0,27497,16752,0,0,4908,104224,0,24923,0
2025‑06‑04 17:12:37,12354,4276,111781,91560,244,174,27480,16736,0,0,4941,107208,232,24928,0
2025‑06‑04 18:00:59,12380,4280,113011,92601,245,175,27485,16737,0,0,4954,108379,233,24933,0
2025‑06‑04 21:01:13,12416,4311,117399,96208,245,175,27516,16753,0,0,5011,112568,233,24941,0
2025‑06‑05 00:02:03,12499,4345,120664,98859,251,179,27547,16766,0,0,5054,116112,237,24963,0
2025‑06‑05 03:21:45,12574,4389,124279,101930,261,189,27584,16790,0,0,5095,119133,246,24991,0
2025‑06‑05 06:01:06,12595,4405,126570,103797,276,200,27604,16810,0,0,5112,121380,256,25001,0
